,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Samad Nik Bahrami,37,7,15,2,5,7,11,2,2,4,0,0,4,2,23,iran,2014-09-04,france,2014090451,Group Play,201451,fiba-world-cup
1,Mahdi Kamrany,35,7,12,3,6,0,0,0,1,5,4,0,2,4,17,iran,2014-09-04,france,2014090451,Group Play,201451,fiba-world-cup
2,Hamed Haddadi,32,6,19,0,2,10,13,9,15,0,1,1,3,3,22,iran,2014-09-04,france,2014090451,Group Play,201451,fiba-world-cup
3,Hamed Afagh,29,5,7,0,1,0,0,1,4,1,2,0,2,2,10,iran,2014-09-04,france,2014090451,Group Play,201451,fiba-world-cup
4,Oshin Sahakian,27,0,2,0,1,0,0,0,3,0,0,0,0,1,0,iran,2014-09-04,france,2014090451,Group Play,201451,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,iran,2014-09-04,france,2014090451,Group Play,201451,fiba-world-cup
6,Mohammad Jamshidi,10,2,4,0,2,0,0,0,0,0,0,0,0,1,4,iran,2014-09-04,france,2014090451,Group Play,201451,fiba-world-cup
7,Behnam Yakhchali,9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,iran,2014-09-04,france,2014090451,Group Play,201451,fiba-world-cup
8,Arman Zangeneh,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,iran,2014-09-04,france,2014090451,Group Play,201451,fiba-world-cup
9,Rouzbeh Arghavan,7,0,0,0,0,0,0,0,2,0,0,0,0,1,0,iran,2014-09-04,france,2014090451,Group Play,201451,fiba-world-cup
10,Asghar Kardoust,6,0,0,0,0,0,0,0,1,0,1,0,1,3,0,iran,2014-09-04,france,2014090451,Group Play,201451,fiba-world-cup
11,Totals,,27,59,5,17,17,24,12,28,11,8,1,13,18,76,iran,2014-09-04,france,2014090451,Group Play,201451,fiba-world-cup
0,Boris Diaw,27,4,5,1,1,3,4,0,5,3,0,1,4,0,12,france,2014-09-04,iran,2014090451,Group Play,201451,fiba-world-cup
1,Thomas Heurtel,24,6,9,1,3,2,2,1,2,4,1,0,4,1,15,france,2014-09-04,iran,2014090451,Group Play,201451,fiba-world-cup
2,Mickael Gelabale,19,3,5,2,4,0,0,0,1,1,1,0,1,2,8,france,2014-09-04,iran,2014090451,Group Play,201451,fiba-world-cup
3,Joffrey Lauvergne,18,5,9,2,3,0,0,2,5,0,0,1,0,2,12,france,2014-09-04,iran,2014090451,Group Play,201451,fiba-world-cup
4,Nicolas Batum,15,1,2,0,1,0,0,1,1,2,1,0,0,2,2,france,2014-09-04,iran,2014090451,Group Play,201451,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,france,2014-09-04,iran,2014090451,Group Play,201451,fiba-world-cup
6,Antoine Diot,22,1,5,1,3,0,2,0,5,2,1,0,2,2,3,france,2014-09-04,iran,2014090451,Group Play,201451,fiba-world-cup
7,Evan Fournier,18,3,5,3,5,4,6,0,1,1,0,0,1,4,13,france,2014-09-04,iran,2014090451,Group Play,201451,fiba-world-cup
8,Florent Pietrus,17,0,0,0,0,0,0,0,2,1,0,1,0,3,0,france,2014-09-04,iran,2014090451,Group Play,201451,fiba-world-cup
9,Edwin Jackson,15,3,8,1,4,0,0,0,0,1,0,0,0,1,7,france,2014-09-04,iran,2014090451,Group Play,201451,fiba-world-cup
10,Rudy Gobert,12,1,1,0,0,1,1,0,3,0,1,0,0,2,3,france,2014-09-04,iran,2014090451,Group Play,201451,fiba-world-cup
11,Charles Kahudi,8,2,2,0,0,0,0,0,1,0,1,0,0,2,4,france,2014-09-04,iran,2014090451,Group Play,201451,fiba-world-cup
12,Kim Tillie,5,1,2,0,0,0,0,0,0,0,0,0,1,2,2,france,2014-09-04,iran,2014090451,Group Play,201451,fiba-world-cup
13,Totals,,30,53,11,24,10,15,4,26,15,6,3,13,23,81,france,2014-09-04,iran,2014090451,Group Play,201451,fiba-world-cup
