,Date,Team,PTS, ,Opp,OT
0,"Sun, Jul 29, 2012",Lithuania,102,Group A,Argentina,
1,"Sun, Jul 29, 2012",Brazil,71,Group B,Australia,
2,"Sun, Jul 29, 2012",Spain,81,Group B,China,
3,"Sun, Jul 29, 2012",United States,71,Group A,France,
4,"Sun, Jul 29, 2012",Russia,75,Group B,Great Britain,
5,"Sun, Jul 29, 2012",Tunisia,60,Group A,Nigeria,
6,"Tue, Jul 31, 2012",France,64,Group A,Argentina,
7,"Tue, Jul 31, 2012",Spain,70,Group B,Australia,
8,"Tue, Jul 31, 2012",Great Britain,67,Group B,Brazil,
9,"Tue, Jul 31, 2012",Russia,54,Group B,China,
10,"Tue, Jul 31, 2012",Nigeria,72,Group A,Lithuania,
11,"Tue, Jul 31, 2012",United States,63,Group A,Tunisia,
12,"Thu, Aug 2, 2012",Tunisia,92,Group A,Argentina,
13,"Thu, Aug 2, 2012",China,81,Group B,Australia,
14,"Thu, Aug 2, 2012",Russia,74,Group B,Brazil,
15,"Thu, Aug 2, 2012",Lithuania,82,Group A,France,
16,"Thu, Aug 2, 2012",United States,73,Group A,Nigeria,
17,"Thu, Aug 2, 2012",Great Britain,79,Group B,Spain,
18,"Sat, Aug 4, 2012",Nigeria,93,Group A,Argentina,
19,"Sat, Aug 4, 2012",Great Britain,106,Group B,Australia,
20,"Sat, Aug 4, 2012",China,98,Group B,Brazil,
21,"Sat, Aug 4, 2012",Tunisia,73,Group A,France,
22,"Sat, Aug 4, 2012",United States,94,Group A,Lithuania,
23,"Sat, Aug 4, 2012",Russia,74,Group B,Spain,
24,"Mon, Aug 6, 2012",United States,97,Group A,Argentina,
25,"Mon, Aug 6, 2012",Russia,82,Group B,Australia,
26,"Mon, Aug 6, 2012",Spain,88,Group B,Brazil,
27,"Mon, Aug 6, 2012",Great Britain,58,Group B,China,
28,"Mon, Aug 6, 2012",Nigeria,79,Group A,France,
29,"Mon, Aug 6, 2012",Tunisia,76,Group A,Lithuania,
30,"Wed, Aug 8, 2012",Brazil,82,Quarter-Finals,Argentina,
31,"Wed, Aug 8, 2012",United States,86,Quarter-Finals,Australia,
32,"Wed, Aug 8, 2012",Russia,74,Quarter-Finals,Lithuania,
33,"Wed, Aug 8, 2012",France,66,Quarter-Finals,Spain,
34,"Fri, Aug 10, 2012",United States,83,Semi-Finals,Argentina,
35,"Fri, Aug 10, 2012",Russia,67,Semi-Finals,Spain,
36,"Sun, Aug 12, 2012",Russia,77,Final Round,Argentina,
37,"Sun, Aug 12, 2012",United States,100,Final Round,Spain,
