,Date,Team,PTS, ,Opp,OT
0,"Sun, Aug 15, 2004",Lithuania,73,Group B,Angola,
1,"Sun, Aug 15, 2004",Serbia and Montenegro,83,Group A,Argentina,
2,"Sun, Aug 15, 2004",Greece,54,Group B,Australia,
3,"Sun, Aug 15, 2004",Spain,58,Group A,China,
4,"Sun, Aug 15, 2004",New Zealand,71,Group A,Italy,
5,"Sun, Aug 15, 2004",United States,92,Group B,Puerto Rico,
6,"Tue, Aug 17, 2004",Australia,59,Group B,Angola,
7,"Tue, Aug 17, 2004",Spain,76,Group A,Argentina,
8,"Tue, Aug 17, 2004",New Zealand,69,Group A,China,
9,"Tue, Aug 17, 2004",United States,71,Group B,Greece,
10,"Tue, Aug 17, 2004",Serbia and Montenegro,72,Group A,Italy,
11,"Tue, Aug 17, 2004",Puerto Rico,98,Group B,Lithuania,
12,"Thu, Aug 19, 2004",Puerto Rico,80,Group B,Angola,
13,"Thu, Aug 19, 2004",China,82,Group A,Argentina,
14,"Thu, Aug 19, 2004",United States,79,Group B,Australia,
15,"Thu, Aug 19, 2004",Lithuania,76,Group B,Greece,
16,"Thu, Aug 19, 2004",Serbia and Montenegro,90,Group A,New Zealand,
17,"Thu, Aug 19, 2004",Italy,71,Group A,Spain,
18,"Sat, Aug 21, 2004",Greece,56,Group B,Angola,
19,"Sat, Aug 21, 2004",New Zealand,98,Group A,Argentina,
20,"Sat, Aug 21, 2004",Puerto Rico,82,Group B,Australia,
21,"Sat, Aug 21, 2004",Italy,52,Group A,China,
22,"Sat, Aug 21, 2004",United States,94,Group B,Lithuania,
23,"Sat, Aug 21, 2004",Serbia and Montenegro,76,Group A,Spain,
24,"Mon, Aug 23, 2004",United States,53,Group B,Angola,
25,"Mon, Aug 23, 2004",Italy,75,Group A,Argentina,
26,"Mon, Aug 23, 2004",Lithuania,85,Group B,Australia,
27,"Mon, Aug 23, 2004",Serbia and Montenegro,67,Group A,China,
28,"Mon, Aug 23, 2004",Puerto Rico,78,Group B,Greece,
29,"Mon, Aug 23, 2004",New Zealand,88,Group A,Spain,
30,"Tue, Aug 24, 2004",Serbia and Montenegro,62,Consolation,Angola,
31,"Tue, Aug 24, 2004",New Zealand,98,Consolation,Australia,
32,"Thu, Aug 26, 2004",Greece,69,Quarter-Finals,Argentina,
33,"Thu, Aug 26, 2004",Lithuania,75,Quarter-Finals,China,
34,"Thu, Aug 26, 2004",Puerto Rico,83,Quarter-Finals,Italy,
35,"Thu, Aug 26, 2004",United States,94,Quarter-Finals,Spain,
36,"Fri, Aug 27, 2004",United States,89,Semi-Finals,Argentina,
37,"Fri, Aug 27, 2004",Lithuania,100,Semi-Finals,Italy,
38,"Sat, Aug 28, 2004",Italy,84,Final Round,Argentina,
39,"Sat, Aug 28, 2004",Spain,76,Final Round,China,
40,"Sat, Aug 28, 2004",Puerto Rico,85,Final Round,Greece,
41,"Sat, Aug 28, 2004",United States,96,Final Round,Lithuania,
