,Date,Team,PTS, ,Opp,OT
0,"Sun, Sep 17, 2000",Spain,45,Group B,Angola,
1,"Sun, Sep 17, 2000",Canada,90,Group B,Australia,
2,"Sun, Sep 17, 2000",United States,72,Group A,China,
3,"Sun, Sep 17, 2000",New Zealand,76,Group A,France,
4,"Sun, Sep 17, 2000",Lithuania,50,Group A,Italy,
5,"Sun, Sep 17, 2000",Serbia and Montenegro,60,Group B,Russia,
6,"Tue, Sep 19, 2000",Canada,54,Group B,Angola,
7,"Tue, Sep 19, 2000",Serbia and Montenegro,66,Group B,Australia,
8,"Tue, Sep 19, 2000",New Zealand,75,Group A,China,
9,"Tue, Sep 19, 2000",Lithuania,63,Group A,France,
10,"Tue, Sep 19, 2000",United States,61,Group A,Italy,
11,"Tue, Sep 19, 2000",Russia,63,Group B,Spain,
12,"Thu, Sep 21, 2000",Serbia and Montenegro,64,Group B,Angola,
13,"Thu, Sep 21, 2000",Russia,75,Group B,Australia,
14,"Thu, Sep 21, 2000",Spain,91,Group B,Canada,
15,"Thu, Sep 21, 2000",France,70,Group A,China,
16,"Thu, Sep 21, 2000",New Zealand,78,Group A,Italy,
17,"Thu, Sep 21, 2000",United States,76,Group A,Lithuania,
18,"Sat, Sep 23, 2000",Australia,75,Group B,Angola,
19,"Sat, Sep 23, 2000",Russia,59,Group B,Canada,
20,"Sat, Sep 23, 2000",Lithuania,66,Group A,China,
21,"Sat, Sep 23, 2000",Italy,57,Group A,France,
22,"Sat, Sep 23, 2000",United States,56,Group A,New Zealand,
23,"Sat, Sep 23, 2000",Serbia and Montenegro,65,Group B,Spain,
24,"Mon, Sep 25, 2000",Russia,65,Group B,Angola,
25,"Mon, Sep 25, 2000",Spain,91,Group B,Australia,
26,"Mon, Sep 25, 2000",Serbia and Montenegro,83,Group B,Canada,
27,"Mon, Sep 25, 2000",Italy,85,Group A,China,
28,"Mon, Sep 25, 2000",United States,94,Group A,France,
29,"Mon, Sep 25, 2000",New Zealand,85,Group A,Lithuania,
30,"Tue, Sep 26, 2000",New Zealand,60,Cosolation,Angola,
31,"Tue, Sep 26, 2000",Spain,64,Cosolation,China,
32,"Thu, Sep 28, 2000",Italy,65,Quarter-Finals,Australia,
33,"Thu, Sep 28, 2000",France,63,Quarter-Finals,Canada,
34,"Thu, Sep 28, 2000",Serbia and Montenegro,76,Quarter-Finals,Lithuania,
35,"Thu, Sep 28, 2000",United States,70,Quarter-Finals,Russia,
36,"Fri, Sep 29, 2000",France,52,Semi-Finals,Australia,
37,"Fri, Sep 29, 2000",United States,83,Semi-Finals,Lithuania,
38,"Sat, Sep 30, 2000",Russia,86,Final Round,Canada,
39,"Sat, Sep 30, 2000",Serbia and Montenegro,69,Final Round,Italy,
40,"Sun, Oct 1, 2000",Lithuania,71,Final Round,Australia,
41,"Sun, Oct 1, 2000",United States,75,Final Round,France,
