,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Pau Gasol,31.0,8.0,11.0,1.0,1.0,4.0,7.0,2.0,10,2,0,0,2,2.0,21,spain,2004-08-15,china,200408153,Group A,20043
1,Juan Carlos Navarro,26.0,6.0,13.0,2.0,7.0,2.0,2.0,2.0,3,1,1,0,1,0.0,16,spain,2004-08-15,china,200408153,Group A,20043
2,Felipe Reyes,24.0,7.0,10.0,0.0,0.0,0.0,2.0,3.0,5,1,0,0,3,3.0,14,spain,2004-08-15,china,200408153,Group A,20043
3,Carlos Jimenez,23.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,6,1,0,0,1,1.0,0,spain,2004-08-15,china,200408153,Group A,20043
4,Jose Calderon,22.0,2.0,8.0,1.0,7.0,2.0,2.0,1.0,2,2,1,0,1,0.0,7,spain,2004-08-15,china,200408153,Group A,20043
5,Jaume Comas,20.0,1.0,4.0,0.0,2.0,2.0,4.0,1.0,1,1,3,0,0,0.0,4,spain,2004-08-15,china,200408153,Group A,20043
6,Jorge Garbajosa,16.0,2.0,5.0,0.0,2.0,3.0,3.0,3.0,4,0,0,0,1,4.0,7,spain,2004-08-15,china,200408153,Group A,20043
7,Rodrigo De La Fuente,15.0,2.0,3.0,0.0,1.0,1.0,2.0,1.0,6,1,0,0,1,2.0,5,spain,2004-08-15,china,200408153,Group A,20043
8,Rudy Fernandez,9.0,2.0,4.0,0.0,1.0,2.0,2.0,0.0,2,0,0,0,0,0.0,6,spain,2004-08-15,china,200408153,Group A,20043
9,Oscar Yebra,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,1.0,0,spain,2004-08-15,china,200408153,Group A,20043
10,Roberto Duenas,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0,1,0,3.0,0,spain,2004-08-15,china,200408153,Group A,20043
11,Iker Iturbe,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0.0,3,spain,2004-08-15,china,200408153,Group A,20043
12,Totals,,31.0,66.0,5.0,25.0,16.0,24.0,15.0,41,10,5,1,10,16.0,83,spain,2004-08-15,china,200408153,Group A,20043
0,Li Nan,32.0,4.0,8.0,4.0,7.0,2.0,2.0,1.0,2,0,1,0,4,4.0,14,china,2004-08-15,spain,200408153,Group A,20043
1,Wei Liu,32.0,3.0,9.0,1.0,1.0,0.0,0.0,1.0,2,2,0,0,3,1.0,7,china,2004-08-15,spain,200408153,Group A,20043
2,Yao Ming,28.0,4.0,11.0,0.0,0.0,4.0,4.0,1.0,8,1,0,0,1,5.0,12,china,2004-08-15,spain,200408153,Group A,20043
3,Zhu Fangyu,28.0,2.0,7.0,2.0,4.0,0.0,0.0,1.0,4,1,2,0,1,1.0,6,china,2004-08-15,spain,200408153,Group A,20043
4,Bateer Mengke,18.0,2.0,7.0,0.0,4.0,0.0,0.0,1.0,2,0,0,0,2,2.0,4,china,2004-08-15,spain,200408153,Group A,20043
5,Mo Ke,16.0,1.0,4.0,0.0,0.0,1.0,4.0,4.0,8,1,0,0,1,3.0,3,china,2004-08-15,spain,200408153,Group A,20043
6,Yi Jianlian,14.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,5,0,0,0,0,3.0,2,china,2004-08-15,spain,200408153,Group A,20043
7,Chen Ke,10.0,2.0,6.0,2.0,6.0,0.0,0.0,0.0,1,0,0,0,0,1.0,6,china,2004-08-15,spain,200408153,Group A,20043
8,Du Feng,9.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,3,0,0,0,1,2.0,2,china,2004-08-15,spain,200408153,Group A,20043
9,Guo Shiqiang,7.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0,3,1.0,0,china,2004-08-15,spain,200408153,Group A,20043
10,Zhang Jinsong,6.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1,0,0,0,0,0.0,2,china,2004-08-15,spain,200408153,Group A,20043
11,Zhang Yunsong,,,,,,,,,0,0,0,0,1,,0,china,2004-08-15,spain,200408153,Group A,20043
12,Totals,,,,,,,,,36,5,3,0,17,,58,china,2004-08-15,spain,200408153,Group A,20043
