,Date,Team,PTS, ,Opp,OT
0,"Sun, Aug 10, 2008",Germany,66,Group B,Angola,
1,"Sun, Aug 10, 2008",Lithuania,75,Group A,Argentina,
2,"Sun, Aug 10, 2008",Croatia,82,Group A,Australia,
3,"Sun, Aug 10, 2008",United States,70,Group B,China,
4,"Sun, Aug 10, 2008",Russia,49,Group A,Iran,
5,"Sun, Aug 10, 2008",Greece,81,Group B,Spain,
6,"Tue, Aug 12, 2008",United States,76,Group B,Angola,
7,"Tue, Aug 12, 2008",Australia,85,Group A,Argentina,
8,"Tue, Aug 12, 2008",Spain,75,Group B,China,
9,"Tue, Aug 12, 2008",Russia,85,Group A,Croatia,
10,"Tue, Aug 12, 2008",Greece,64,Group B,Germany,
11,"Tue, Aug 12, 2008",Lithuania,67,Group A,Iran,
12,"Thu, Aug 14, 2008",China,68,Group B,Angola,
13,"Thu, Aug 14, 2008",Croatia,77,Group A,Argentina,
14,"Thu, Aug 14, 2008",Iran,106,Group A,Australia,
15,"Thu, Aug 14, 2008",United States,69,Group B,Greece,
16,"Thu, Aug 14, 2008",Russia,86,Group A,Lithuania,
17,"Thu, Aug 14, 2008",Germany,72,Group B,Spain,
18,"Sat, Aug 16, 2008",Greece,61,Group B,Angola,
19,"Sat, Aug 16, 2008",Iran,97,Group A,Argentina,
20,"Sat, Aug 16, 2008",Russia,95,Group A,Australia,
21,"Sat, Aug 16, 2008",Germany,59,Group B,China,
22,"Sat, Aug 16, 2008",Lithuania,73,Group A,Croatia,
23,"Sat, Aug 16, 2008",United States,82,Group B,Spain,
24,"Mon, Aug 18, 2008",Spain,50,Group B,Angola,
25,"Mon, Aug 18, 2008",Russia,91,Group A,Argentina,
26,"Mon, Aug 18, 2008",Lithuania,106,Group A,Australia,
27,"Mon, Aug 18, 2008",Greece,77,Group B,China,
28,"Mon, Aug 18, 2008",Iran,91,Group A,Croatia,
29,"Mon, Aug 18, 2008",United States,57,Group B,Germany,
30,"Wed, Aug 20, 2008",Greece,80,Quarter-Finals,Argentina,
31,"Wed, Aug 20, 2008",United States,85,Quarter-Finals,Australia,
32,"Wed, Aug 20, 2008",Lithuania,68,Quarter-Finals,China,
33,"Wed, Aug 20, 2008",Spain,59,Quarter-Finals,Croatia,
34,"Fri, Aug 22, 2008",United States,81,Semi-Finals,Argentina,
35,"Fri, Aug 22, 2008",Lithuania,91,Semi-Finals,Spain,
36,"Sun, Aug 24, 2008",Lithuania,87,Final Round,Argentina,
37,"Sun, Aug 24, 2008",United States,107,Final Round,Spain,
