,Date,Team,PTS, ,Opp,OT
0,"Sat, Aug 31, 2019",Serbia,59,First Round,Angola,
1,"Sat, Aug 31, 2019",Korea,95,First Round,Argentina,
2,"Sat, Aug 31, 2019",Puerto Rico,81,First Round,Iran,
3,"Sat, Aug 31, 2019",China,55,First Round,Ivory Coast,
4,"Sat, Aug 31, 2019",Italy,62,First Round,Philippines,
5,"Sat, Aug 31, 2019",Venezuela,80,First Round,Poland,
6,"Sat, Aug 31, 2019",Nigeria,82,First Round,Russia,
7,"Sat, Aug 31, 2019",Tunisia,101,First Round,Spain,
8,"Sun, Sep 1, 2019",Australia,92,First Round,Canada,
9,"Sun, Sep 1, 2019",United States,67,First Round,Czech Republic,
10,"Sun, Sep 1, 2019",Jordan,80,First Round,Dominican Republic,
11,"Sun, Sep 1, 2019",Germany,78,First Round,France,
12,"Sun, Sep 1, 2019",Montenegro,85,First Round,Greece,
13,"Sun, Sep 1, 2019",Brazil,94,First Round,New Zealand,
14,"Sun, Sep 1, 2019",Lithuania,47,First Round,Senegal,
15,"Sun, Sep 1, 2019",Japan,86,First Round,Turkey,
16,"Mon, Sep 2, 2019",Poland,76,First Round,China,
17,"Mon, Sep 2, 2019",Angola,92,First Round,Italy,
18,"Mon, Sep 2, 2019",Russia,73,First Round,Korea,
19,"Mon, Sep 2, 2019",Argentina,81,First Round,Nigeria,
20,"Mon, Sep 2, 2019",Spain,63,First Round,Puerto Rico,
21,"Mon, Sep 2, 2019",Philippines,126,First Round,Serbia,
22,"Mon, Sep 2, 2019",Iran,79,First Round,Tunisia,
23,"Mon, Sep 2, 2019",Ivory Coast,87,First Round,Venezuela,
24,"Tue, Sep 3, 2019",Senegal,81,First Round,Australia,
25,"Tue, Sep 3, 2019",Greece,79,First Round,Brazil,
26,"Tue, Sep 3, 2019",Dominican Republic,68,First Round,Germany,
27,"Tue, Sep 3, 2019",Czech Republic,76,First Round,Japan,
28,"Tue, Sep 3, 2019",France,64,First Round,Jordan,
29,"Tue, Sep 3, 2019",Canada,92,First Round,Lithuania,
30,"Tue, Sep 3, 2019",New Zealand,83,First Round,Montenegro,
31,"Tue, Sep 3, 2019",Turkey,93,First Round,United States,
32,"Wed, Sep 4, 2019",Philippines,84,First Round,Angola,
33,"Wed, Sep 4, 2019",Serbia,77,First Round,Italy,
34,"Wed, Sep 4, 2019",Poland,63,First Round,Ivory Coast,
35,"Wed, Sep 4, 2019",Nigeria,66,First Round,Korea,
36,"Wed, Sep 4, 2019",Tunisia,67,First Round,Puerto Rico,
