,Date,Team,PTS, ,Opp,OT
0,"Sat, Aug 28, 2010",Germany,78,Group Play,Argentina,
1,"Sat, Aug 28, 2010",Iran,81,Group Play,Brazil,
2,"Sat, Aug 28, 2010",Greece,81,Group Play,China,
3,"Sat, Aug 28, 2010",United States,78,Group Play,Croatia,
4,"Sat, Aug 28, 2010",Australia,75,Group Play,Jordan,
5,"Sat, Aug 28, 2010",Canada,81,Group Play,Lebanon,
6,"Sat, Aug 28, 2010",New Zealand,92,Group Play,Lithuania,
7,"Sat, Aug 28, 2010",Russia,66,Group Play,Puerto Rico,
8,"Sat, Aug 28, 2010",Angola,94,Group Play,Serbia,
9,"Sat, Aug 28, 2010",Tunisia,80,Group Play,Slovenia,
10,"Sat, Aug 28, 2010",France,66,Group Play,Spain,
11,"Sat, Aug 28, 2010",Ivory Coast,86,Group Play,Turkey,
12,"Sun, Aug 29, 2010",Jordan,79,Group Play,Angola,
13,"Sun, Aug 29, 2010",Argentina,72,Group Play,Australia,
14,"Sun, Aug 29, 2010",Lithuania,68,Group Play,Canada,
15,"Sun, Aug 29, 2010",Lebanon,86,Group Play,France,
16,"Sun, Aug 29, 2010",Serbia,82,Group Play,Germany,2OT
17,"Sun, Aug 29, 2010",Puerto Rico,83,Group Play,Greece,
18,"Sun, Aug 29, 2010",Croatia,54,Group Play,Iran,
19,"Sun, Aug 29, 2010",China,73,Group Play,Ivory Coast,
20,"Sun, Aug 29, 2010",Spain,84,Group Play,New Zealand,
21,"Sun, Aug 29, 2010",Turkey,56,Group Play,Russia,
22,"Sun, Aug 29, 2010",Brazil,65,Group Play,Tunisia,
23,"Sun, Aug 29, 2010",Slovenia,99,Group Play,United States,
24,"Mon, Aug 30, 2010",Angola,91,Group Play,Argentina,
25,"Mon, Aug 30, 2010",United States,68,Group Play,Brazil,
26,"Mon, Aug 30, 2010",Slovenia,84,Group Play,Croatia,
27,"Mon, Aug 30, 2010",Australia,43,Group Play,Germany,
28,"Mon, Aug 30, 2010",Tunisia,71,Group Play,Iran,
29,"Mon, Aug 30, 2010",Jordan,112,Group Play,Serbia,
30,"Tue, Aug 31, 2010",France,63,Group Play,Canada,
31,"Tue, Aug 31, 2010",Puerto Rico,76,Group Play,China,
32,"Tue, Aug 31, 2010",Russia,66,Group Play,Ivory Coast,
33,"Tue, Aug 31, 2010",New Zealand,76,Group Play,Lebanon,
34,"Tue, Aug 31, 2010",Spain,76,Group Play,Lithuania,
35,"Tue, Aug 31, 2010",Greece,76,Group Play,Turkey,
36,"Wed, Sep 1, 2010",Germany,92,Group Play,Angola,OT
37,"Wed, Sep 1, 2010",Serbia,79,Group Play,Australia,
38,"Wed, Sep 1, 2010",Lithuania,55,Group Play,France,
39,"Wed, Sep 1, 2010",Ivory Coast,97,Group Play,Greece,
40,"Wed, Sep 1, 2010",Argentina,79,Group Play,Jordan,
41,"Wed, Sep 1, 2010",Canada,71,Group Play,New Zealand,
42,"Wed, Sep 1, 2010",Turkey,77,Group Play,Puerto Rico,
43,"Wed, Sep 1, 2010",China,89,Group Play,Russia,
44,"Wed, Sep 1, 2010",Brazil,80,Group Play,Slovenia,
45,"Wed, Sep 1, 2010",Lebanon,91,Group Play,Spain,
46,"Wed, Sep 1, 2010",Croatia,64,Group Play,Tunisia,
47,"Wed, Sep 1, 2010",Iran,88,Group Play,United States,
48,"Thu, Sep 2, 2010",Angola,76,Group Play,Australia,
49,"Thu, Sep 2, 2010",Spain,67,Group Play,Canada,
50,"Thu, Sep 2, 2010",Turkey,40,Group Play,China,
51,"Thu, Sep 2, 2010",Brazil,74,Group Play,Croatia,
52,"Thu, Sep 2, 2010",New Zealand,70,Group Play,France,
53,"Thu, Sep 2, 2010",Jordan,91,Group Play,Germany,
54,"Thu, Sep 2, 2010",Slovenia,60,Group Play,Iran,
55,"Thu, Sep 2, 2010",Puerto Rico,88,Group Play,Ivory Coast,
56,"Thu, Sep 2, 2010",Lebanon,84,Group Play,Lithuania,
57,"Thu, Sep 2, 2010",Greece,73,Group Play,Russia,
58,"Thu, Sep 2, 2010",Argentina,84,Group Play,Serbia,
59,"Thu, Sep 2, 2010",United States,57,Group Play,Tunisia,
60,"Sat, Sep 4, 2010",Serbia,72,Round of 16,Croatia,
61,"Sat, Sep 4, 2010",Spain,72,Round of 16,Greece,
62,"Sun, Sep 5, 2010",Slovenia,58,Round of 16,Australia,
63,"Sun, Sep 5, 2010",Turkey,77,Round of 16,France,
64,"Mon, Sep 6, 2010",United States,66,Round of 16,Angola,
65,"Mon, Sep 6, 2010",Russia,56,Round of 16,New Zealand,
66,"Tue, Sep 7, 2010",Argentina,89,Round of 16,Brazil,
67,"Tue, Sep 7, 2010",Lithuania,67,Round of 16,China,
68,"Wed, Sep 8, 2010",Turkey,68,Quarterfinals,Slovenia,
69,"Wed, Sep 8, 2010",Serbia,89,Quarterfinals,Spain,
70,"Thu, Sep 9, 2010",Lithuania,85,Quarterfinals,Argentina,
71,"Thu, Sep 9, 2010",United States,79,Quarterfinals,Russia,
72,"Fri, Sep 10, 2010",Russia,73,Consolation,Argentina,
73,"Fri, Sep 10, 2010",Spain,80,Consolation,Slovenia,
74,"Sat, Sep 11, 2010",United States,74,Semifinals,Lithuania,
75,"Sat, Sep 11, 2010",Slovenia,83,Consolation,Russia,
76,"Sat, Sep 11, 2010",Serbia,83,Semifinals,Turkey,
77,"Sun, Sep 12, 2010",Spain,86,Consolation,Argentina,
78,"Sun, Sep 12, 2010",Serbia,99,Semifinals,Lithuania,
79,"Sun, Sep 12, 2010",Turkey,81,Semifinals,United States,
