,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Novica Velickovic,32,8,14,0,1,2,2,1,4,3,0,0,1,2,18,serbia,2010-09-12,lithuania,2010091278,Semifinals,201078
1,Milos Teodosic,28,4,9,1,4,0,1,0,2,4,1,0,3,4,9,serbia,2010-09-12,lithuania,2010091278,Semifinals,201078
2,Aleksandar Rasic,28,2,7,2,6,2,2,1,2,10,3,0,0,0,8,serbia,2010-09-12,lithuania,2010091278,Semifinals,201078
3,Marko Keselj,19,5,6,2,3,0,1,0,2,0,1,0,1,0,12,serbia,2010-09-12,lithuania,2010091278,Semifinals,201078
4,Nenad Krstic,16,2,7,0,0,1,1,4,8,0,0,0,1,2,5,serbia,2010-09-12,lithuania,2010091278,Semifinals,201078
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,serbia,2010-09-12,lithuania,2010091278,Semifinals,201078
6,Dusko Savanovic,18,2,4,0,1,6,7,0,3,0,0,0,1,2,10,serbia,2010-09-12,lithuania,2010091278,Semifinals,201078
7,Stefan Markovic,18,1,3,0,1,1,4,1,1,0,0,0,0,2,3,serbia,2010-09-12,lithuania,2010091278,Semifinals,201078
8,Nemanja Bjelica,11,1,1,0,0,0,0,0,0,0,0,0,0,2,2,serbia,2010-09-12,lithuania,2010091278,Semifinals,201078
9,Milan Macvan,9,3,3,0,0,2,2,0,0,1,0,0,1,2,8,serbia,2010-09-12,lithuania,2010091278,Semifinals,201078
10,Ivan Paunic,9,2,3,0,0,2,2,0,0,0,0,0,0,0,6,serbia,2010-09-12,lithuania,2010091278,Semifinals,201078
11,Milenko Tepic,8,2,2,1,1,2,2,0,0,2,1,0,1,2,7,serbia,2010-09-12,lithuania,2010091278,Semifinals,201078
12,Kosta Perovic,4,0,1,0,0,0,0,0,0,0,0,1,2,0,0,serbia,2010-09-12,lithuania,2010091278,Semifinals,201078
13,Totals,,32,60,6,17,18,24,7,22,20,6,1,11,18,88,serbia,2010-09-12,lithuania,2010091278,Semifinals,201078
0,Linas Kleiza,35,12,18,5,7,4,4,1,7,4,3,0,2,1,33,lithuania,2010-09-12,serbia,2010091278,Semifinals,201078
1,Mantas Kalnietis,25,5,11,3,6,1,1,0,5,5,1,0,4,2,14,lithuania,2010-09-12,serbia,2010091278,Semifinals,201078
2,Jonas Maciulis,14,1,3,1,2,0,0,0,1,1,0,0,0,3,3,lithuania,2010-09-12,serbia,2010091278,Semifinals,201078
3,Robertas Javtokas,9,1,1,0,0,0,0,0,1,1,0,1,0,1,2,lithuania,2010-09-12,serbia,2010091278,Semifinals,201078
4,Renaldas Seibutis,8,1,2,0,1,0,0,0,0,0,1,0,0,0,2,lithuania,2010-09-12,serbia,2010091278,Semifinals,201078
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,lithuania,2010-09-12,serbia,2010091278,Semifinals,201078
6,Simas Jasaitis,33,5,7,2,3,2,2,4,10,3,0,0,2,4,14,lithuania,2010-09-12,serbia,2010091278,Semifinals,201078
7,Martynas Pocius,29,3,5,1,2,5,6,0,0,1,0,0,1,1,12,lithuania,2010-09-12,serbia,2010091278,Semifinals,201078
8,Paulius Jankunas,18,7,10,0,1,1,1,1,4,1,0,1,2,4,15,lithuania,2010-09-12,serbia,2010091278,Semifinals,201078
9,Tomas Delininkaitis,18,1,2,0,1,2,2,0,1,2,0,0,0,5,4,lithuania,2010-09-12,serbia,2010091278,Semifinals,201078
10,Tadas Klimavicius,11,0,2,0,0,0,0,0,0,1,1,0,1,2,0,lithuania,2010-09-12,serbia,2010091278,Semifinals,201078
11,Totals,,36,61,12,23,15,16,6,29,19,6,2,12,23,99,lithuania,2010-09-12,serbia,2010091278,Semifinals,201078
