year,id,country,date,tournament_stage,mp,fg,fga,x3p,x3pa,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,results,mov,fg_p,x3P_p,ft_p,tsa,ts_p,efg_p,tov_p
2000,200009196,angola,2000-09-19,Group B,200,22,66,5,28,5,7,9,22,12,4,1,13,23,54,L,45,0.3333333333333333,0.17857142857142858,0.7142857142857143,69.08,0.390851187029531,0.3712121212121212,15.838206627680313
2000,200009196,canada,2000-09-19,Group B,200,34,55,9,19,22,28,6,38,19,7,1,16,13,99,W,45,0.6181818181818182,0.47368421052631576,0.7857142857142857,67.32,0.7352941176470589,0.7,19.203072491598657
2000,200009197,australia,2000-09-19,Group B,199,26,50,5,15,9,12,3,25,18,1,5,14,20,66,L,14,0.52,0.3333333333333333,0.75,55.28,0.5969609261939218,0.57,20.207852193995382
2000,200009197,serbia and montenegro,2000-09-19,Group B,201,31,65,6,18,12,21,14,32,17,6,1,5,15,80,W,14,0.47692307692307695,0.3333333333333333,0.5714285714285714,74.24,0.5387931034482759,0.5230769230769231,6.309944472488643
2000,200009198,china,2000-09-19,Group A,200,25,64,8,26,17,17,10,33,19,4,8,12,20,75,W,15,0.390625,0.3076923076923077,1,71.48,0.5246222719641858,0.453125,14.374700527072353
2000,200009198,new zealand,2000-09-19,Group A,199,21,60,5,12,13,19,11,28,11,4,3,11,17,60,L,15,0.35,0.4166666666666667,0.6842105263157895,68.36,0.43885313048566416,0.39166666666666666,13.860887096774194
2000,200009199,france,2000-09-19,Group A,200,18,49,3,17,24,30,6,26,12,0,5,16,30,63,L,18,0.3673469387755102,0.17647058823529413,0.8,62.2,0.5064308681672025,0.3979591836734694,20.460358056265985
2000,200009199,lithuania,2000-09-19,Group A,201,27,56,5,13,22,27,7,22,16,5,2,8,26,81,W,18,0.48214285714285715,0.38461538461538464,0.8148148148148148,67.88,0.5966411314083677,0.5267857142857143,10.542962572482868
2000,2000091910,italy,2000-09-19,Group A,200,21,64,6,30,13,24,12,28,13,3,1,12,26,61,L,32,0.328125,0.2,0.5416666666666666,74.56,0.4090665236051502,0.375,13.863216266173753
2000,2000091910,united states,2000-09-19,Group A,199,35,55,6,12,17,30,8,41,18,9,6,10,23,93,W,32,0.6363636363636364,0.5,0.5666666666666667,68.2,0.6818181818181818,0.6909090909090909,12.78772378516624
2000,2000091911,russia,2000-09-19,Group B,201,25,56,5,14,16,19,9,38,7,4,8,14,27,71,W,8,0.44642857142857145,0.35714285714285715,0.8421052631578947,64.36,0.5515848353014294,0.49107142857142855,17.866258295048492
2000,2000091911,spain,2000-09-19,Group B,201,18,51,7,13,20,30,8,26,8,5,0,12,24,63,L,8,0.35294117647058826,0.5384615384615384,0.6666666666666666,64.2,0.49065420560747663,0.4215686274509804,15.74803149606299
2000,2000092112,angola,2000-09-21,Group B,200,21,55,10,26,12,16,3,20,11,3,2,6,23,64,L,9,0.38181818181818183,0.38461538461538464,0.75,62.04,0.5157962604771116,0.4727272727272727,8.818342151675486
2000,2000092112,serbia and montenegro,2000-09-21,Group B,199,25,45,5,14,18,27,5,36,14,2,2,13,18,73,W,9,0.5555555555555556,0.35714285714285715,0.6666666666666666,56.88,0.6417018284106891,0.6111111111111112,18.603319977103606
2000,2000092113,australia,2000-09-21,Group B,200,32,57,8,17,3,4,8,31,17,6,4,11,16,75,W,4,0.5614035087719298,0.47058823529411764,0.75,58.76,0.6381892443839347,0.631578947368421,15.768348623853212
2000,2000092113,russia,2000-09-21,Group B,201,25,66,13,30,8,12,16,32,15,4,2,10,14,71,L,4,0.3787878787878788,0.43333333333333335,0.6666666666666666,71.28,0.49803591470258135,0.4772727272727273,12.303149606299213
2000,2000092114,canada,2000-09-21,Group B,200,32,52,10,19,17,21,8,25,13,3,2,18,19,91,W,14,0.6153846153846154,0.5263157894736842,0.8095238095238095,61.24,0.7429784454604833,0.7115384615384616,22.715800100959108
