,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Sasa Obradovic,30.0,4,8,3,4,2,2,1,2,3,0,0,0,3,13,serbia and montenegro,2000-09-23,spain,2000092323,Group B,200023,mens-olympics
1,Dejan Tomasevic,30.0,3,4,0,0,5,6,1,4,1,0,0,2,2,11,serbia and montenegro,2000-09-23,spain,2000092323,Group B,200023,mens-olympics
2,Dejan Bodiroga,29.0,4,4,0,0,3,6,0,5,2,2,0,2,3,11,serbia and montenegro,2000-09-23,spain,2000092323,Group B,200023,mens-olympics
3,Predrag Danilovic,25.0,4,8,1,2,5,6,1,2,4,0,0,1,1,14,serbia and montenegro,2000-09-23,spain,2000092323,Group B,200023,mens-olympics
4,Zeljko Rebraca,25.0,4,6,0,0,2,2,2,6,0,1,0,1,4,10,serbia and montenegro,2000-09-23,spain,2000092323,Group B,200023,mens-olympics
5,Dragan Tarlac,21.0,3,5,0,0,0,2,1,3,0,0,0,4,3,6,serbia and montenegro,2000-09-23,spain,2000092323,Group B,200023,mens-olympics
6,Peja Stojakovic,15.0,2,6,0,3,3,4,1,3,3,0,0,3,3,7,serbia and montenegro,2000-09-23,spain,2000092323,Group B,200023,mens-olympics
7,Dragan Lukovski,10.0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,serbia and montenegro,2000-09-23,spain,2000092323,Group B,200023,mens-olympics
8,Vlado Scepanovic,9.0,1,2,0,1,0,0,0,0,1,0,0,0,2,2,serbia and montenegro,2000-09-23,spain,2000092323,Group B,200023,mens-olympics
9,Nikola Jestratijevic,2.0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,serbia and montenegro,2000-09-23,spain,2000092323,Group B,200023,mens-olympics
10,Igor Rakocevic,2.0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,serbia and montenegro,2000-09-23,spain,2000092323,Group B,200023,mens-olympics
11,Predrag Drobnjak,1.0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,serbia and montenegro,2000-09-23,spain,2000092323,Group B,200023,mens-olympics
12,Totals,,26,44,4,10,22,32,8,27,14,4,0,14,22,78,serbia and montenegro,2000-09-23,spain,2000092323,Group B,200023,mens-olympics
0,Alberto Herreros,31.0,4,12,1,4,7,8,0,1,1,1,2,1,4,16,spain,2000-09-23,serbia and montenegro,2000092323,Group B,200023,mens-olympics
1,Roberto Duenas,27.0,3,10,0,0,2,2,7,10,0,0,1,1,3,8,spain,2000-09-23,serbia and montenegro,2000092323,Group B,200023,mens-olympics
2,Alfonso Reyes,24.0,5,7,0,0,4,4,3,4,0,0,0,1,4,14,spain,2000-09-23,serbia and montenegro,2000092323,Group B,200023,mens-olympics
3,Raul Lopez,23.0,1,6,0,1,3,3,1,1,3,0,0,0,0,5,spain,2000-09-23,serbia and montenegro,2000092323,Group B,200023,mens-olympics
4,Johnny Rogers,22.0,2,6,1,3,1,2,0,6,0,1,0,0,2,6,spain,2000-09-23,serbia and montenegro,2000092323,Group B,200023,mens-olympics
5,Carlos Jimenez,19.0,2,6,0,1,1,2,2,3,0,3,0,1,3,5,spain,2000-09-23,serbia and montenegro,2000092323,Group B,200023,mens-olympics
6,Ignacio Rodriguez,17.0,1,3,1,3,2,2,1,1,3,1,0,1,4,5,spain,2000-09-23,serbia and montenegro,2000092323,Group B,200023,mens-olympics
7,Juan Carlos Navarro,14.0,0,3,0,1,2,2,0,0,0,1,0,2,1,2,spain,2000-09-23,serbia and montenegro,2000092323,Group B,200023,mens-olympics
8,Rodrigo De La Fuente,13.0,1,3,0,1,0,0,0,1,0,0,0,1,2,2,spain,2000-09-23,serbia and montenegro,2000092323,Group B,200023,mens-olympics
9,Jorge Garbajosa,7.0,0,0,0,0,2,4,0,0,0,0,1,1,2,2,spain,2000-09-23,serbia and montenegro,2000092323,Group B,200023,mens-olympics
10,Alberto Angulo,4.0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,spain,2000-09-23,serbia and montenegro,2000092323,Group B,200023,mens-olympics
11,Totals,,19,58,3,14,24,29,14,27,7,7,4,11,26,65,spain,2000-09-23,serbia and montenegro,2000092323,Group B,200023,mens-olympics
